DATA,PRATOPRINCIPAL,OVOS,VEGETARIANO,GUARNICAO,ARROZ,FEIJAO,SALADA1,SALADA2,SUCO,SOBREMESA,HORARIO
19/07,CUBOS MISTOS,FRITO/COZIDO,LENTILHA AO SUGO,CANJIQUINHA,BRANCO/INTEGRAL,PRETO,COUVE,CENOURA RALADA,MARACUJÁ,LARANJA/GELATINA DEUVA,JANTAR
20/07,CARNE DE PANELA,FRITO/COZIDO,CROQUETE DE ABOBRINHA ORO-PRO-NÓBISE CHIA,REPOLHO BÚLGARO,BRANCO/INTEGRAL,CARIOCA,MIX DE ALFACE(VERDE E ROXA),BETERRABA COZIDA,LARANJA,MAÇÃ/GOIABADACREMOSA,ALMOÇO
22/07,CARNE MOÍDA AO SUGO,FRITO/COZIDO,BATATA BAROA COM ERVILHA E CHIA,CREME DE MILHO,BRANCO/INTEGRAL,PRETO,ALMEIRÃO,PEPINO COM TOMATE,ABACAXI COMHORTELÃ,LARANJA,ALMOÇO
22/07,ISCA DE FRANGO COMPIMENTÕES COLORIDOS,FRITO/COZIDO,QUIBE DE ORO-PRO-NOBIS E LINHAÇA,REPOLHO BÚLGARO,BRANCO/INTEGRAL,PRETO,ALMEIRÃO,ABOBRINHA RALADA,ABACAXI COMHORTELÃ,MELANCIA/PAÇOCA,JANTAR
23/07,CHURRASCO MISTO,FRITO/COZIDO,LENTILHA AO SUGO,FAROFA DE CEBOLA,BRANCO/INTEGRAL,VERMELHO,MIX DE REPOLHOVERDE E ROXO,CENOURA RALADA,MELANCIA,BANANA/GOIABADA,ALMOÇO
23/07,ISCA SUÍNA AOBARBECUE,FRITO/COZIDO,BAROA COM VAGEM E MILHO,ANGU,BRANCO/INTEGRAL,VERMELHO,MIX DE ALFACE(VERDE E ROXA),PEPINO EM RODELAS,MELANCIA,MAÇÃ,JANTAR
24/07,FEIJOADA,FRITO/COZIDO,GRÃO DE BICO COM VAGEM E MILHO,FAROFA CROCANTE,BRANCO/INTEGRAL,CARIOCA,COUVE,VINAGRETE,LIMÃO,LARANJA PAÇOCA,ALMOÇO
24/07,FRICASSÊ DE FRANGO,FRITO/COZIDO,GRÃO DE BICO XADREZ,CENOURA À JULIENNE,BRANCO/INTEGRAL,CARIOCA,COUVE,BERINJELA EM CUBOS,LIMÃO,BANANA/PUDIM DECHOCOLATE,JANTAR
25/07,CARNE DE PANELA,FRITO/COZIDO,MIX DE BAROA COM ERVILHA E CHIA,MANDIOCA ENSOPADA,BRANCO/INTEGRAL,PRETO,REPOLHO VERDE,CENOURA COZIDA,MARACUJÁ,LARANJA/ GELATINA DEUVA,ALMOÇO
25/07,PEIXE ENSOPADO,FRITO/COZIDO,BOLINHO DE FEIJÃO,FAROFA DE CEBOLA,BRANCO/INTEGRAL,PRETO,REPOLHO VERDE,TOMATE EM RODELAS,MARACUJÁ,BANANA/DOCE DE LEITE,JANTAR
26/07,CUBOS SUÍNOACEBOLADOS,FRITO/COZIDO,FEIJÃO BRANCO COM MILHO LENTILHA EBRÓCOLIS,CHUCHU AO ALHO,BRANCO/INTEGRAL,CARIOCA,ALFACE CRESPA,CAPONATA DEBERINJELA,ABACAXI,MELANCIA,ALMOÇO
26/07,ISCA BOVINA AO MOLHOMADEIRA,FRITO/COZIDO,BATATA BAROA COM ERVILHA E CHIA,CREME DE ESPINAFRE,BRANCO/INTEGRAL,CARIOCA,ALFACE CRESPA,BETERRABA COZIDA,ABACAXI,LARANJA/GOIABADACREMOSA,JANTAR
27/07,FRANGO XADREZ,FRITO/COZIDO,QUIBE DE AVEIA COM ORO-PRO-NÓBIS,CENOURA SAUTÊ,BRANCO/INTEGRAL,VERMELHO,ALFACE CRESPA,PEPINO EM RODELAS,LARANJA,MAÇÃ/BOLO DECHOCOLATE,ALMOÇO
29/07,MOQUECA DE PEIXE,FRITO/COZIDO,FEIJÃO BRANCO COM MORANGA E QUINOA,MACARRÃO AO SUGO,BRANCO/INTEGRAL,PRETO,ALFACE,BETERRABA RALADA,MELANCIA,MAÇÃ/PÉ DE MOLEQUE,ALMOÇO
29/07,CUBOS SUÍNOS AOBARBECUE,FRITO/COZIDO,HAMBURGUER DE AVEIA E BERINJELA,POLENTA TEMPERADA,BRANCO/INTEGRAL,PRETO,COUVE,CENOURA RALADA,MELANCIA,LARANJA,JANTAR
30/07,SOBRECOXA ASSADA,FRITO/COZIDO,MIX DE FEIJÃO BRANCO COM BATATABAROA E VAGEM,CREME DE MILHO,BRANCO/INTEGRAL,CARIOCA,ALMEIRÃO,BETERRABA COZIDA,LARANJA,MAÇÃ/DOCE DE LEITE,ALMOÇO
30/07,LASANHA À BOLONHESA,FRITO/COZIDO,LASANHA DE PTS E MILHO,ABOBRINHA AO ALHO,BRANCO/INTEGRAL,CARIOCA,ALMEIRÃO,CENOURA RALADA,LARANJA,BANANA/PAÇOCA,JANTAR
31/07,STROGONOFF BOVINO,FRITO/COZIDO,BOLINHO DE AVEIA COM BRÓCOLIS E CHIA,CENOURA À JULIENNE,BRANCO/INTEGRAL,VERMELHO,ALFACE CRESPA,TOMATE EM CUBOS,MARACUJÁ,LARANJA/GELATINA DEUVA,ALMOÇO
31/07,CHURRASCO MISTO,FRITO/COZIDO,LENTILHA AO SUGO,CANJIQUINHA,BRANCO/INTEGRAL,VERMELHO,ALFACE CRESPA,PEPINO EM RODELAS,MARACUJÁ,MAÇÃ/DOCE DE LEITE,JANTAR
